no,topic,description,example
298,Grid Search,"Grid Search: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
299,Random Search,"Random Search: key idea, when to use it, and its core properties or equations.",Example: Service Worker caches /index.html and /api/* for offline; ARIA roles improve screen-reader navigation.
300,Bayesian Optimization,"Bayesian Optimization: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
301,Loss Functions (MSE/MAE/CE),"Loss Functions (MSE/MAE/CE): key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
302,AUC-ROC,"AUC-ROC: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
303,Precision/Recall/F1,"Precision/Recall/F1: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
304,Confusion Matrix,"Confusion Matrix: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
305,SMOTE,"SMOTE: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
306,Scaling/Normalization,"Scaling/Normalization: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
307,One-Hot Encoding,"One-Hot Encoding: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
308,PCA,"PCA: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
309,t-SNE,"t-SNE: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
310,UMAP,"UMAP: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
311,Linear Regression,"Linear Regression: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
312,Logistic Regression,"Logistic Regression: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
313,Naive Bayes,"Naive Bayes: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
314,KNN,"KNN: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
315,Decision Tree,"Decision Tree: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
316,Random Forest,"Random Forest: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
317,Gradient Boosting,"Gradient Boosting: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
318,XGBoost,"XGBoost: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
319,LightGBM,"LightGBM: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
320,CatBoost,"CatBoost: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
321,SVM,"SVM: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
322,K-Means,"K-Means: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
323,DBSCAN,"DBSCAN: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
324,Perceptron,"Perceptron: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
325,MLP,"MLP: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
326,CNN,"CNN: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
327,RNN,"RNN: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
328,LSTM,"LSTM: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
329,GRU,"GRU: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
330,Transformer,"Transformer: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
331,Attention Mechanism,"Attention Mechanism: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
332,Batch Normalization,"Batch Normalization: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
333,Dropout,"Dropout: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
334,Residual Connections,"Residual Connections: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
335,Transfer Learning,"Transfer Learning: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
336,Fine-Tuning,"Fine-Tuning: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
337,Diffusion Models,"Diffusion Models: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
338,Autoencoder,"Autoencoder: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
339,VAE,"VAE: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
340,GAN,"GAN: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
341,Recommender Systems,"Recommender Systems: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
342,SHAP,"SHAP: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
343,LIME,"LIME: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
344,Fairness Metrics,"Fairness Metrics: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
345,Model Monitoring,"Model Monitoring: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
346,Data Drift,"Data Drift: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
347,Concept Drift,"Concept Drift: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
348,Model Registry,"Model Registry: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
349,Feature Store,"Feature Store: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
350,Model Serving,"Model Serving: key idea, when to use it, and its core properties or equations.","Dataset: X∈ℝ^{3×2}, y=[1,2,2.5]. Train linear regression; predict x=[1,4] → ŷ≈3.3.
Metrics: compute RMSE; for classification compute precision/recall/F1."
351,Shadow Deployment,"Shadow Deployment: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
352,A/B Testing for Models,"A/B Testing for Models: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
353,Prompt Engineering,"Prompt Engineering: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
354,Retrieval-Augmented Generation,"Retrieval-Augmented Generation: key idea, when to use it, and its core properties or equations.","Prefix tree for strings.
Example: insert 'cat','car'; search 'ca*' → {'cat','car'}. Lookup prefix O(L)."
355,Regular Expressions,"Regular Expressions: key idea, when to use it, and its core properties or equations.",Example: regex (ab|a)* matches 'aba'; LL(1) parse table drives recursive-descent; SSA enables constant propagation and dead-code elimination.
356,Finite Automata,"Finite Automata: key idea, when to use it, and its core properties or equations.",Example: regex (ab|a)* matches 'aba'; LL(1) parse table drives recursive-descent; SSA enables constant propagation and dead-code elimination.
357,Context-Free Grammars,"Context-Free Grammars: key idea, when to use it, and its core properties or equations.",Example: regex (ab|a)* matches 'aba'; LL(1) parse table drives recursive-descent; SSA enables constant propagation and dead-code elimination.
358,Parsing (LL),"Parsing (LL): key idea, when to use it, and its core properties or equations.",Example: regex (ab|a)* matches 'aba'; LL(1) parse table drives recursive-descent; SSA enables constant propagation and dead-code elimination.
359,Parsing (LR),"Parsing (LR): key idea, when to use it, and its core properties or equations.",Example: regex (ab|a)* matches 'aba'; LL(1) parse table drives recursive-descent; SSA enables constant propagation and dead-code elimination.
360,AST,"AST: key idea, when to use it, and its core properties or equations.",Example: regex (ab|a)* matches 'aba'; LL(1) parse table drives recursive-descent; SSA enables constant propagation and dead-code elimination.
361,Intermediate Representation,"Intermediate Representation: key idea, when to use it, and its core properties or equations.","Give a minimal, runnable sketch or numeric example tailored to the topic, with input, steps, and output, plus complexity."
362,SSA,"SSA: key idea, when to use it, and its core properties or equations.",Example: regex (ab|a)* matches 'aba'; LL(1) parse table drives recursive-descent; SSA enables constant propagation and dead-code elimination.
363,Data-Flow Analysis,"Data-Flow Analysis: key idea, when to use it, and its core properties or equations.",Example: regex (ab|a)* matches 'aba'; LL(1) parse table drives recursive-descent; SSA enables constant propagation and dead-code elimination.
364,Register Allocation,"Register Allocation: key idea, when to use it, and its core properties or equations.",Example: regex (ab|a)* matches 'aba'; LL(1) parse table drives recursive-descent; SSA enables constant propagation and dead-code elimination.
365,Inlining,"Inlining: key idea, when to use it, and its core properties or equations.",Example: regex (ab|a)* matches 'aba'; LL(1) parse table drives recursive-descent; SSA enables constant propagation and dead-code elimination.
366,Dead Code Elimination,"Dead Code Elimination: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
367,Common Subexpression Elimination,"Common Subexpression Elimination: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
368,Loop Unrolling,"Loop Unrolling: key idea, when to use it, and its core properties or equations.",Example: regex (ab|a)* matches 'aba'; LL(1) parse table drives recursive-descent; SSA enables constant propagation and dead-code elimination.
369,Loop Invariant Code Motion,"Loop Invariant Code Motion: key idea, when to use it, and its core properties or equations.",Example: Service Worker caches /index.html and /api/* for offline; ARIA roles improve screen-reader navigation.
370,JIT Compilation,"JIT Compilation: key idea, when to use it, and its core properties or equations.",Example: regex (ab|a)* matches 'aba'; LL(1) parse table drives recursive-descent; SSA enables constant propagation and dead-code elimination.
371,AOT Compilation,"AOT Compilation: key idea, when to use it, and its core properties or equations.",Example: regex (ab|a)* matches 'aba'; LL(1) parse table drives recursive-descent; SSA enables constant propagation and dead-code elimination.
372,Range Queries with Segment Tree,"Range Queries with Segment Tree: key idea, when to use it, and its core properties or equations.","Segment tree for range queries.
Example: arr=[2,1,5,3]; range max [2,4]→max(1,5,3)=5; point update in O(log n)."
373,Range Queries with Fenwick Tree,"Range Queries with Fenwick Tree: key idea, when to use it, and its core properties or equations.","Fenwick tree (BIT) supports prefix sums.
Example: arr=[1,2,3,4]; query(3)→1+2+3=6; update(2,+5) in O(log n)."
374,Range Queries with Lazy Propagation,"Range Queries with Lazy Propagation: key idea, when to use it, and its core properties or equations.","Example: Range sum queries on arr=[2,1,5,3,4].
Build segment tree; query [2,5]→1+5+3+4=13; point update (3,+2) updates O(log n)."
375,Range Queries with Disjoint Set Union,"Range Queries with Disjoint Set Union: key idea, when to use it, and its core properties or equations.","Union-Find: merges and finds components.
Example: union(1,2), union(2,3) → find(1)==find(3). Path compression + union by rank → α(n)."
376,Range Queries with Rolling Hash,"Range Queries with Rolling Hash: key idea, when to use it, and its core properties or equations.","String/prefix technique.
Example: rolling hash detects substring in O(n); difference array updates range [l,r] in O(1)."
377,Range Queries with KMP Preprocessing,"Range Queries with KMP Preprocessing: key idea, when to use it, and its core properties or equations.","String algo.
Example: pattern 'aba' in 'ababa' → occurrences at 0 and 2 using linear-time preprocessing."
378,Range Queries with Prefix Sums,"Range Queries with Prefix Sums: key idea, when to use it, and its core properties or equations.","String/prefix technique.
Example: rolling hash detects substring in O(n); difference array updates range [l,r] in O(1)."
379,Range Queries with Difference Array,"Range Queries with Difference Array: key idea, when to use it, and its core properties or equations.","Goal: store numbers and access by index.
Example: a = [5, 2, 9]; a[1] = 2; a.append(7) → [5,2,9,7].
Property: O(1) access, append amortized O(1) for dynamic arrays."
380,Range Queries on Trees,"Range Queries on Trees: key idea, when to use it, and its core properties or equations.","Tree queries via Euler tour + RMQ.
Example: LCA(u,v) answered in O(1) after O(n log n) preprocess."
381,Range Queries on DAGs,"Range Queries on DAGs: key idea, when to use it, and its core properties or equations.","Specialized graph structure.
Example: DAG shortest path via topo order relaxations in O(V+E)."
382,Range Queries on Grid Graphs,"Range Queries on Grid Graphs: key idea, when to use it, and its core properties or equations.","Specialized graph structure.
Example: DAG shortest path via topo order relaxations in O(V+E)."
383,Range Queries on Bipartite Graphs,"Range Queries on Bipartite Graphs: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
384,Range Queries with Sweep Line,"Range Queries with Sweep Line: key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
385,Range Queries with Meet-in-the-Middle,"Range Queries with Meet-in-the-Middle: key idea, when to use it, and its core properties or equations.","Split set into halves, enumerate sums.
Example: subset sum N=40 → 2·2^{20} instead of 2^{40}."
386,Range Queries with Randomization,"Range Queries with Randomization: key idea, when to use it, and its core properties or equations.",Example: Service Worker caches /index.html and /api/* for offline; ARIA roles improve screen-reader navigation.
387,Range Queries with Amortized Analysis,"Range Queries with Amortized Analysis: key idea, when to use it, and its core properties or equations.","Amortized analysis.
Example: dynamic array resize doubles capacity → average append O(1)."
388,Range Queries with Persistence,"Range Queries with Persistence: key idea, when to use it, and its core properties or equations.","Persistent data structure keeps old versions.
Example: persistent segment tree supports time-travel queries."
389,Range Queries with Space Optimization,"Range Queries with Space Optimization: key idea, when to use it, and its core properties or equations.",Example: Service Worker caches /index.html and /api/* for offline; ARIA roles improve screen-reader navigation.
390,Range Queries with Parallelization (GPU),"Range Queries with Parallelization (GPU): key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
391,Range Queries in External Memory Model,"Range Queries in External Memory Model: key idea, when to use it, and its core properties or equations.","I/O model.
Example: external mergesort uses block reads/writes; complexity O((N/B) log_{M/B}(N/B))."
392,Range Queries under Heavy-Tailed Data,"Range Queries under Heavy-Tailed Data: key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
393,Range Queries at Web Scale,"Range Queries at Web Scale: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
394,Range Queries under Tight Latency SLOs,"Range Queries under Tight Latency SLOs: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
395,Range Queries with Backpressure,"Range Queries with Backpressure: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
396,Range Queries with Batching,"Range Queries with Batching: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
397,Range Queries with Circuit Breaker,"Range Queries with Circuit Breaker: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
398,Range Queries with Retries,"Range Queries with Retries: key idea, when to use it, and its core properties or equations.","Prefix tree for strings.
Example: insert 'cat','car'; search 'ca*' → {'cat','car'}. Lookup prefix O(L)."
399,Shortest Paths with Segment Tree,"Shortest Paths with Segment Tree: key idea, when to use it, and its core properties or equations.","Segment tree for range queries.
Example: arr=[2,1,5,3]; range max [2,4]→max(1,5,3)=5; point update in O(log n)."
400,Shortest Paths with Fenwick Tree,"Shortest Paths with Fenwick Tree: key idea, when to use it, and its core properties or equations.","Fenwick tree (BIT) supports prefix sums.
Example: arr=[1,2,3,4]; query(3)→1+2+3=6; update(2,+5) in O(log n)."
401,Shortest Paths with Lazy Propagation,"Shortest Paths with Lazy Propagation: key idea, when to use it, and its core properties or equations.","Example: Range sum queries on arr=[2,1,5,3,4].
Build segment tree; query [2,5]→1+5+3+4=13; point update (3,+2) updates O(log n)."
402,Shortest Paths with Disjoint Set Union,"Shortest Paths with Disjoint Set Union: key idea, when to use it, and its core properties or equations.","Union-Find: merges and finds components.
Example: union(1,2), union(2,3) → find(1)==find(3). Path compression + union by rank → α(n)."
403,Shortest Paths with Rolling Hash,"Shortest Paths with Rolling Hash: key idea, when to use it, and its core properties or equations.","String/prefix technique.
Example: rolling hash detects substring in O(n); difference array updates range [l,r] in O(1)."
404,Shortest Paths with KMP Preprocessing,"Shortest Paths with KMP Preprocessing: key idea, when to use it, and its core properties or equations.","String algo.
Example: pattern 'aba' in 'ababa' → occurrences at 0 and 2 using linear-time preprocessing."
405,Shortest Paths with Prefix Sums,"Shortest Paths with Prefix Sums: key idea, when to use it, and its core properties or equations.","String/prefix technique.
Example: rolling hash detects substring in O(n); difference array updates range [l,r] in O(1)."
406,Shortest Paths with Difference Array,"Shortest Paths with Difference Array: key idea, when to use it, and its core properties or equations.","Goal: store numbers and access by index.
Example: a = [5, 2, 9]; a[1] = 2; a.append(7) → [5,2,9,7].
Property: O(1) access, append amortized O(1) for dynamic arrays."
407,Shortest Paths on Trees,"Shortest Paths on Trees: key idea, when to use it, and its core properties or equations.","Tree queries via Euler tour + RMQ.
Example: LCA(u,v) answered in O(1) after O(n log n) preprocess."
408,Shortest Paths on DAGs,"Shortest Paths on DAGs: key idea, when to use it, and its core properties or equations.","Specialized graph structure.
Example: DAG shortest path via topo order relaxations in O(V+E)."
409,Shortest Paths on Grid Graphs,"Shortest Paths on Grid Graphs: key idea, when to use it, and its core properties or equations.","Specialized graph structure.
Example: DAG shortest path via topo order relaxations in O(V+E)."
410,Shortest Paths on Bipartite Graphs,"Shortest Paths on Bipartite Graphs: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
411,Shortest Paths with Sweep Line,"Shortest Paths with Sweep Line: key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
412,Shortest Paths with Meet-in-the-Middle,"Shortest Paths with Meet-in-the-Middle: key idea, when to use it, and its core properties or equations.","Split set into halves, enumerate sums.
Example: subset sum N=40 → 2·2^{20} instead of 2^{40}."
413,Shortest Paths with Randomization,"Shortest Paths with Randomization: key idea, when to use it, and its core properties or equations.",Example: Service Worker caches /index.html and /api/* for offline; ARIA roles improve screen-reader navigation.
414,Shortest Paths with Amortized Analysis,"Shortest Paths with Amortized Analysis: key idea, when to use it, and its core properties or equations.","Amortized analysis.
Example: dynamic array resize doubles capacity → average append O(1)."
415,Shortest Paths with Persistence,"Shortest Paths with Persistence: key idea, when to use it, and its core properties or equations.","Persistent data structure keeps old versions.
Example: persistent segment tree supports time-travel queries."
416,Shortest Paths with Space Optimization,"Shortest Paths with Space Optimization: key idea, when to use it, and its core properties or equations.",Example: Service Worker caches /index.html and /api/* for offline; ARIA roles improve screen-reader navigation.
417,Shortest Paths with Parallelization (GPU),"Shortest Paths with Parallelization (GPU): key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
418,Shortest Paths in External Memory Model,"Shortest Paths in External Memory Model: key idea, when to use it, and its core properties or equations.","I/O model.
Example: external mergesort uses block reads/writes; complexity O((N/B) log_{M/B}(N/B))."
419,Shortest Paths under Heavy-Tailed Data,"Shortest Paths under Heavy-Tailed Data: key idea, when to use it, and its core properties or equations.","Concrete run:
Define input and show the output for this technique on a small instance (e.g., a 6-node graph or a 10-element array), including complexity."
420,Shortest Paths at Web Scale,"Shortest Paths at Web Scale: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
421,Shortest Paths under Tight Latency SLOs,"Shortest Paths under Tight Latency SLOs: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
422,Shortest Paths with Backpressure,"Shortest Paths with Backpressure: key idea, when to use it, and its core properties or equations.","Trace: client → TCP 3-way handshake → TLS handshake → HTTP GET /items → 200 OK.
Example: rate limit with token bucket (r=10/s, burst=20) drops excess requests."
423,Shortest Paths with Batching,"Shortest Paths with Batching: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
424,Shortest Paths with Circuit Breaker,"Shortest Paths with Circuit Breaker: key idea, when to use it, and its core properties or equations.","Microservices resilience.
Example: token bucket limits QPS; circuit breaker opens on 5 consecutive failures; retry with exponential backoff and jitter."
425,Shortest Paths with Retries,"Shortest Paths with Retries: key idea, when to use it, and its core properties or equations.","Prefix tree for strings.
Example: insert 'cat','car'; search 'ca*' → {'cat','car'}. Lookup prefix O(L)."
426,Tree Queries with Segment Tree,"Tree Queries with Segment Tree: key idea, when to use it, and its core properties or equations.","Segment tree for range queries.
Example: arr=[2,1,5,3]; range max [2,4]→max(1,5,3)=5; point update in O(log n)."
427,Tree Queries with Fenwick Tree,"Tree Queries with Fenwick Tree: key idea, when to use it, and its core properties or equations.","Fenwick tree (BIT) supports prefix sums.
Example: arr=[1,2,3,4]; query(3)→1+2+3=6; update(2,+5) in O(log n)."
428,Tree Queries with Lazy Propagation,"Tree Queries with Lazy Propagation: key idea, when to use it, and its core properties or equations.","Example: Range sum queries on arr=[2,1,5,3,4].
Build segment tree; query [2,5]→1+5+3+4=13; point update (3,+2) updates O(log n)."
429,Tree Queries with Disjoint Set Union,"Tree Queries with Disjoint Set Union: key idea, when to use it, and its core properties or equations.","Union-Find: merges and finds components.
Example: union(1,2), union(2,3) → find(1)==find(3). Path compression + union by rank → α(n)."
430,Tree Queries with Rolling Hash,"Tree Queries with Rolling Hash: key idea, when to use it, and its core properties or equations.","String/prefix technique.
Example: rolling hash detects substring in O(n); difference array updates range [l,r] in O(1)."
431,Tree Queries with KMP Preprocessing,"Tree Queries with KMP Preprocessing: key idea, when to use it, and its core properties or equations.","String algo.
Example: pattern 'aba' in 'ababa' → occurrences at 0 and 2 using linear-time preprocessing."
432,Tree Queries with Prefix Sums,"Tree Queries with Prefix Sums: key idea, when to use it, and its core properties or equations.","String/prefix technique.
Example: rolling hash detects substring in O(n); difference array updates range [l,r] in O(1)."
433,Tree Queries with Difference Array,"Tree Queries with Difference Array: key idea, when to use it, and its core properties or equations.","Goal: store numbers and access by index.
Example: a = [5, 2, 9]; a[1] = 2; a.append(7) → [5,2,9,7].
Property: O(1) access, append amortized O(1) for dynamic arrays."
434,Tree Queries on Trees,"Tree Queries on Trees: key idea, when to use it, and its core properties or equations.","Tree queries via Euler tour + RMQ.
Example: LCA(u,v) answered in O(1) after O(n log n) preprocess."
435,Tree Queries on DAGs,"Tree Queries on DAGs: key idea, when to use it, and its core properties or equations.","Specialized graph structure.
Example: DAG shortest path via topo order relaxations in O(V+E)."
