no,topic,description,example
320,Reaction: Acetone with Cl2 (UV light),"Reaction: Acetone with Cl2 (UV light): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
321,Reaction: Acetone with HBr (acidic medium),"Reaction: Acetone with HBr (acidic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
322,Reaction: Acetone with HCl (in DMSO),"Reaction: Acetone with HCl (in DMSO): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
323,Reaction: Acetone with SOCl2 (solvent‑free),"Reaction: Acetone with SOCl2 (solvent‑free): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
324,Reaction: Acetone with PCl5 (basic medium),"Reaction: Acetone with PCl5 (basic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
325,Reaction: Acetone with NH3 (room temperature),"Reaction: Acetone with NH3 (room temperature): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
326,Reaction: Acetone with NaOH (aqueous),"Reaction: Acetone with NaOH (aqueous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
327,Reaction: Acetone with KOH (aqueous),"Reaction: Acetone with KOH (aqueous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
328,Reaction: Acetone with NaCN (solvent‑free),"Reaction: Acetone with NaCN (solvent‑free): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
329,Reaction: Acetone with Grignard (RMgX) (acidic medium),"Reaction: Acetone with Grignard (RMgX) (acidic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
330,Reaction: Cyclohexene with NaBH4 (solvent‑free),"Reaction: Cyclohexene with NaBH4 (solvent‑free): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
331,Reaction: Cyclohexene with LiAlH4 (solvent‑free),"Reaction: Cyclohexene with LiAlH4 (solvent‑free): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
332,Reaction: Cyclohexene with KMnO4 (UV light),"Reaction: Cyclohexene with KMnO4 (UV light): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
333,Reaction: Cyclohexene with CrO3 (acidic medium),"Reaction: Cyclohexene with CrO3 (acidic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
334,Reaction: Cyclohexene with H2/Pd (room temperature),"Reaction: Cyclohexene with H2/Pd (room temperature): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
335,Reaction: Cyclohexene with Br2 (acidic medium),"Reaction: Cyclohexene with Br2 (acidic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
336,Reaction: Cyclohexene with Cl2 (microwave),"Reaction: Cyclohexene with Cl2 (microwave): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
337,Reaction: Cyclohexene with HBr (in DMSO),"Reaction: Cyclohexene with HBr (in DMSO): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
338,Reaction: Cyclohexene with HCl (reflux),"Reaction: Cyclohexene with HCl (reflux): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
339,Reaction: Cyclohexene with SOCl2 (0 °C),"Reaction: Cyclohexene with SOCl2 (0 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
340,Reaction: Cyclohexene with PCl5 (UV light),"Reaction: Cyclohexene with PCl5 (UV light): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
341,Reaction: Cyclohexene with NH3 (reflux),"Reaction: Cyclohexene with NH3 (reflux): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
342,Reaction: Cyclohexene with NaOH (microwave),"Reaction: Cyclohexene with NaOH (microwave): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
343,Reaction: Cyclohexene with KOH (basic medium),"Reaction: Cyclohexene with KOH (basic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
344,Reaction: Cyclohexene with NaCN (solvent‑free),"Reaction: Cyclohexene with NaCN (solvent‑free): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
345,Reaction: Cyclohexene with Grignard (RMgX) (0 °C),"Reaction: Cyclohexene with Grignard (RMgX) (0 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
346,Reaction: Phenol with NaBH4 (microwave),"Reaction: Phenol with NaBH4 (microwave): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
347,Reaction: Phenol with LiAlH4 (in DMSO),"Reaction: Phenol with LiAlH4 (in DMSO): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
348,Reaction: Phenol with KMnO4 (aqueous),"Reaction: Phenol with KMnO4 (aqueous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
349,Reaction: Phenol with CrO3 (reflux),"Reaction: Phenol with CrO3 (reflux): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
350,Reaction: Phenol with H2/Pd (basic medium),"Reaction: Phenol with H2/Pd (basic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
351,Reaction: Phenol with Br2 (solvent‑free),"Reaction: Phenol with Br2 (solvent‑free): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
352,Reaction: Phenol with Cl2 (solvent‑free),"Reaction: Phenol with Cl2 (solvent‑free): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
353,Reaction: Phenol with HBr (aqueous),"Reaction: Phenol with HBr (aqueous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
354,Reaction: Phenol with HCl (room temperature),"Reaction: Phenol with HCl (room temperature): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
355,Reaction: Phenol with SOCl2 (−78 °C),"Reaction: Phenol with SOCl2 (−78 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
356,Reaction: Phenol with PCl5 (basic medium),"Reaction: Phenol with PCl5 (basic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
357,Reaction: Phenol with NH3 (microwave),"Reaction: Phenol with NH3 (microwave): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
358,Reaction: Phenol with NaOH (anhydrous),"Reaction: Phenol with NaOH (anhydrous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
359,Reaction: Phenol with KOH (basic medium),"Reaction: Phenol with KOH (basic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
360,Reaction: Phenol with NaCN (solvent‑free),"Reaction: Phenol with NaCN (solvent‑free): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
361,Reaction: Phenol with Grignard (RMgX) (acidic medium),"Reaction: Phenol with Grignard (RMgX) (acidic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
362,Reaction: Aniline with NaBH4 (solvent‑free),"Reaction: Aniline with NaBH4 (solvent‑free): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
363,Reaction: Aniline with LiAlH4 (room temperature),"Reaction: Aniline with LiAlH4 (room temperature): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
364,Reaction: Aniline with KMnO4 (sunlight),"Reaction: Aniline with KMnO4 (sunlight): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
365,Reaction: Aniline with CrO3 (aqueous),"Reaction: Aniline with CrO3 (aqueous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
366,Reaction: Aniline with H2/Pd (microwave),"Reaction: Aniline with H2/Pd (microwave): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
367,Reaction: Aniline with Br2 (UV light),"Reaction: Aniline with Br2 (UV light): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
368,Reaction: Aniline with Cl2 (in ether),"Reaction: Aniline with Cl2 (in ether): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
369,Reaction: Aniline with HBr (−78 °C),"Reaction: Aniline with HBr (−78 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
370,Reaction: Aniline with HCl (sunlight),"Reaction: Aniline with HCl (sunlight): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
371,Reaction: Aniline with SOCl2 (solvent‑free),"Reaction: Aniline with SOCl2 (solvent‑free): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
372,Reaction: Aniline with PCl5 (sunlight),"Reaction: Aniline with PCl5 (sunlight): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
373,Reaction: Aniline with NH3 (−78 °C),"Reaction: Aniline with NH3 (−78 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
374,Reaction: Aniline with NaOH (0 °C),"Reaction: Aniline with NaOH (0 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
375,Reaction: Aniline with KOH (room temperature),"Reaction: Aniline with KOH (room temperature): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
376,Reaction: Aniline with NaCN (in ether),"Reaction: Aniline with NaCN (in ether): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
377,Reaction: Aniline with Grignard (RMgX) (reflux),"Reaction: Aniline with Grignard (RMgX) (reflux): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
378,Reaction: Bromobenzene with NaBH4 (anhydrous),"Reaction: Bromobenzene with NaBH4 (anhydrous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
379,Reaction: Bromobenzene with LiAlH4 (in ether),"Reaction: Bromobenzene with LiAlH4 (in ether): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
380,Reaction: Bromobenzene with KMnO4 (room temperature),"Reaction: Bromobenzene with KMnO4 (room temperature): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
381,Reaction: Bromobenzene with CrO3 (basic medium),"Reaction: Bromobenzene with CrO3 (basic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
382,Reaction: Bromobenzene with H2/Pd (solvent‑free),"Reaction: Bromobenzene with H2/Pd (solvent‑free): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
383,Reaction: Bromobenzene with Br2 (0 °C),"Reaction: Bromobenzene with Br2 (0 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
384,Reaction: Bromobenzene with Cl2 (microwave),"Reaction: Bromobenzene with Cl2 (microwave): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
385,Reaction: Bromobenzene with HBr (sunlight),"Reaction: Bromobenzene with HBr (sunlight): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
386,Reaction: Bromobenzene with HCl (−78 °C),"Reaction: Bromobenzene with HCl (−78 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
387,Reaction: Bromobenzene with SOCl2 (anhydrous),"Reaction: Bromobenzene with SOCl2 (anhydrous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
388,Reaction: Bromobenzene with PCl5 (sunlight),"Reaction: Bromobenzene with PCl5 (sunlight): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
389,Reaction: Bromobenzene with NH3 (0 °C),"Reaction: Bromobenzene with NH3 (0 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
390,Reaction: Bromobenzene with NaOH (solvent‑free),"Reaction: Bromobenzene with NaOH (solvent‑free): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
391,Reaction: Bromobenzene with KOH (basic medium),"Reaction: Bromobenzene with KOH (basic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
392,Reaction: Bromobenzene with NaCN (basic medium),"Reaction: Bromobenzene with NaCN (basic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
393,Reaction: Bromobenzene with Grignard (RMgX) (microwave),"Reaction: Bromobenzene with Grignard (RMgX) (microwave): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
394,Reaction: Ethyl Bromide with NaBH4 (UV light),"Reaction: Ethyl Bromide with NaBH4 (UV light): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
395,Reaction: Ethyl Bromide with LiAlH4 (reflux),"Reaction: Ethyl Bromide with LiAlH4 (reflux): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
396,Reaction: Ethyl Bromide with KMnO4 (in ether),"Reaction: Ethyl Bromide with KMnO4 (in ether): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
397,Reaction: Ethyl Bromide with CrO3 (−78 °C),"Reaction: Ethyl Bromide with CrO3 (−78 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
398,Reaction: Ethyl Bromide with H2/Pd (reflux),"Reaction: Ethyl Bromide with H2/Pd (reflux): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
399,Reaction: Ethyl Bromide with Br2 (sunlight),"Reaction: Ethyl Bromide with Br2 (sunlight): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
400,Reaction: Ethyl Bromide with Cl2 (UV light),"Reaction: Ethyl Bromide with Cl2 (UV light): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
401,Reaction: Ethyl Bromide with HBr (acidic medium),"Reaction: Ethyl Bromide with HBr (acidic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
402,Reaction: Ethyl Bromide with HCl (aqueous),"Reaction: Ethyl Bromide with HCl (aqueous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
403,Reaction: Ethyl Bromide with SOCl2 (basic medium),"Reaction: Ethyl Bromide with SOCl2 (basic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
404,Reaction: Ethyl Bromide with PCl5 (in ether),"Reaction: Ethyl Bromide with PCl5 (in ether): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
405,Reaction: Ethyl Bromide with NH3 (microwave),"Reaction: Ethyl Bromide with NH3 (microwave): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
406,Reaction: Ethyl Bromide with NaOH (solvent‑free),"Reaction: Ethyl Bromide with NaOH (solvent‑free): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
407,Reaction: Ethyl Bromide with KOH (in ether),"Reaction: Ethyl Bromide with KOH (in ether): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
408,Reaction: Ethyl Bromide with NaCN (in DMSO),"Reaction: Ethyl Bromide with NaCN (in DMSO): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
409,Reaction: Ethyl Bromide with Grignard (RMgX) (−78 °C),"Reaction: Ethyl Bromide with Grignard (RMgX) (−78 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
410,Reaction: 2‑Bromopropane with NaBH4 (−78 °C),"Reaction: 2‑Bromopropane with NaBH4 (−78 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
411,Reaction: 2‑Bromopropane with LiAlH4 (anhydrous),"Reaction: 2‑Bromopropane with LiAlH4 (anhydrous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
412,Reaction: 2‑Bromopropane with KMnO4 (−78 °C),"Reaction: 2‑Bromopropane with KMnO4 (−78 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
413,Reaction: 2‑Bromopropane with CrO3 (solvent‑free),"Reaction: 2‑Bromopropane with CrO3 (solvent‑free): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
414,Reaction: 2‑Bromopropane with H2/Pd (sunlight),"Reaction: 2‑Bromopropane with H2/Pd (sunlight): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
415,Reaction: 2‑Bromopropane with Br2 (solvent‑free),"Reaction: 2‑Bromopropane with Br2 (solvent‑free): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
416,Reaction: 2‑Bromopropane with Cl2 (in ether),"Reaction: 2‑Bromopropane with Cl2 (in ether): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
417,Reaction: 2‑Bromopropane with HBr (sunlight),"Reaction: 2‑Bromopropane with HBr (sunlight): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
418,Reaction: 2‑Bromopropane with HCl (basic medium),"Reaction: 2‑Bromopropane with HCl (basic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
419,Reaction: 2‑Bromopropane with SOCl2 (in DMSO),"Reaction: 2‑Bromopropane with SOCl2 (in DMSO): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
420,Reaction: 2‑Bromopropane with PCl5 (basic medium),"Reaction: 2‑Bromopropane with PCl5 (basic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
421,Reaction: 2‑Bromopropane with NH3 (0 °C),"Reaction: 2‑Bromopropane with NH3 (0 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
422,Reaction: 2‑Bromopropane with NaOH (sunlight),"Reaction: 2‑Bromopropane with NaOH (sunlight): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
423,Reaction: 2‑Bromopropane with KOH (anhydrous),"Reaction: 2‑Bromopropane with KOH (anhydrous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
424,Reaction: 2‑Bromopropane with NaCN (aqueous),"Reaction: 2‑Bromopropane with NaCN (aqueous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
425,Reaction: 2‑Bromopropane with Grignard (RMgX) (basic medium),"Reaction: 2‑Bromopropane with Grignard (RMgX) (basic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
426,Reaction: Acetic Acid with NaBH4 (acidic medium),"Reaction: Acetic Acid with NaBH4 (acidic medium): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
427,Reaction: Acetic Acid with LiAlH4 (anhydrous),"Reaction: Acetic Acid with LiAlH4 (anhydrous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
428,Reaction: Acetic Acid with KMnO4 (anhydrous),"Reaction: Acetic Acid with KMnO4 (anhydrous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
429,Reaction: Acetic Acid with CrO3 (0 °C),"Reaction: Acetic Acid with CrO3 (0 °C): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
430,Reaction: Acetic Acid with H2/Pd (aqueous),"Reaction: Acetic Acid with H2/Pd (aqueous): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
431,Reaction: Acetic Acid with Br2 (solvent‑free),"Reaction: Acetic Acid with Br2 (solvent‑free): definition, key principles, and typical applications.","Example: CH3COOH + C2H5OH ⇌ CH3COOC2H5 + H2O (Fischer esterification, H2SO4 cat., reflux)."
