no,topic,description,example
313,Landau Levels,"Landau Levels: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
314,Kosterlitz–Thouless Transition,"Kosterlitz–Thouless Transition: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
315,Spin–Orbit Coupling,"Spin–Orbit Coupling: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
316,Raman Scattering,"Raman Scattering: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
317,Bragg Diffraction,"Bragg Diffraction: definition, governing equations, and typical applications.","Double-slit: d sinθ=mλ. Example: d=0.5 mm, λ=500 nm ⇒ θ₁≈0.057 rad."
318,Mie Scattering,"Mie Scattering: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
319,Rayleigh Scattering,"Rayleigh Scattering: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
320,Fresnel Equations,"Fresnel Equations: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
321,Optical Pumping,"Optical Pumping: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
322,Rabi Oscillations,"Rabi Oscillations: definition, governing equations, and typical applications.","x(t)=A cos(ωt+φ); ω=√(k/m). Example: m=1 kg, k=4 N/m ⇒ T=π s."
323,Bloch Sphere,"Bloch Sphere: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
324,Bloch Theorem,"Bloch Theorem: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
325,Kronig–Penney Model,"Kronig–Penney Model: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
326,Debye–Waller Factor,"Debye–Waller Factor: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
327,Van der Waals Forces,"Van der Waals Forces: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
328,Casimir Effect,"Casimir Effect: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
329,Bose–Einstein Condensation,"Bose–Einstein Condensation: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
330,Fermi Energy,"Fermi Energy: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
331,Drude Model,"Drude Model: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
332,Anomalous Hall Effect,"Anomalous Hall Effect: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
333,Spin Hall Effect,"Spin Hall Effect: definition, governing equations, and typical applications.",λ=h/p. Example: p=1×10⁻²⁴ kg·m/s ⇒ λ≈6.63×10⁻¹⁰ m.
334,Magnetoresistance,"Magnetoresistance: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
335,Cyclotron Resonance,"Cyclotron Resonance: definition, governing equations, and typical applications.","x(t)=A cos(ωt+φ); ω=√(k/m). Example: m=1 kg, k=4 N/m ⇒ T=π s."
336,Synchrotron Radiation,"Synchrotron Radiation: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
337,Cherenkov Radiation,"Cherenkov Radiation: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
338,Bremsstrahlung,"Bremsstrahlung: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
339,Gravitational Lensing,"Gravitational Lensing: definition, governing equations, and typical applications.","Double-slit: d sinθ=mλ. Example: d=0.5 mm, λ=500 nm ⇒ θ₁≈0.057 rad."
340,Hawking Radiation,"Hawking Radiation: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
341,Kerr Black Hole,"Kerr Black Hole: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
342,Asymptotic Freedom,"Asymptotic Freedom: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
343,QCD Confinement,"QCD Confinement: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
344,CKM Matrix,"CKM Matrix: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
345,PMNS Matrix,"PMNS Matrix: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
346,Seesaw Mechanism,"Seesaw Mechanism: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
347,Electroweak Symmetry Breaking,"Electroweak Symmetry Breaking: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
348,Baryogenesis,"Baryogenesis: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
349,Baryon Acoustic Oscillations,"Baryon Acoustic Oscillations: definition, governing equations, and typical applications.","x(t)=A cos(ωt+φ); ω=√(k/m). Example: m=1 kg, k=4 N/m ⇒ T=π s."
350,Sachs–Wolfe Effect,"Sachs–Wolfe Effect: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
351,Electric Field in Spherical Shell,"Electric Field in Spherical Shell: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
352,Electric Field in Infinite Plane,"Electric Field in Infinite Plane: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
353,Electric Field in Long Solenoid,"Electric Field in Long Solenoid: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
354,Electric Field in Toroid,"Electric Field in Toroid: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
355,Electric Field in Coaxial Cable,"Electric Field in Coaxial Cable: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
356,Electric Field in Parallel Plate,"Electric Field in Parallel Plate: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
357,Electric Field in Cylindrical Cavity,"Electric Field in Cylindrical Cavity: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
358,Electric Field in Rectangular Waveguide,"Electric Field in Rectangular Waveguide: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
359,Electric Field in Fabry–Pérot Cavity,"Electric Field in Fabry–Pérot Cavity: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
360,Electric Field in Spherical Cavity,"Electric Field in Spherical Cavity: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
361,Electric Field in Cylindrical Shell,"Electric Field in Cylindrical Shell: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
362,Electric Field in Spherical Capacitor,"Electric Field in Spherical Capacitor: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
363,Electric Field in Coil Pair (Helmholtz),"Electric Field in Coil Pair (Helmholtz): definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
364,Electric Field in Dipole Field,"Electric Field in Dipole Field: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
365,Electric Field in Quadrupole Field,"Electric Field in Quadrupole Field: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
366,Electric Field in Vacuum,"Electric Field in Vacuum: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
367,Electric Field in Dielectric Medium,"Electric Field in Dielectric Medium: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
368,Electric Field in Conducting Medium,"Electric Field in Conducting Medium: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
369,Electric Field in Anisotropic Medium,"Electric Field in Anisotropic Medium: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
370,Electric Field in Superconductor,"Electric Field in Superconductor: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
371,Electric Field in Plasma,"Electric Field in Plasma: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
372,Electric Field in Semiconductor,"Electric Field in Semiconductor: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
373,Electric Field in Ferromagnetic Material,"Electric Field in Ferromagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
374,Electric Field in Paramagnetic Material,"Electric Field in Paramagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
375,Electric Field in Diamagnetic Material,"Electric Field in Diamagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
376,Electric Field in Metamaterial,"Electric Field in Metamaterial: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
377,Electric Field with Dirichlet Boundary Conditions,"Electric Field with Dirichlet Boundary Conditions: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
378,Electric Field with Neumann Boundary Conditions,"Electric Field with Neumann Boundary Conditions: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
379,Electric Field with Periodic Boundary Conditions,"Electric Field with Periodic Boundary Conditions: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
380,Electric Field with Mixed Boundary Conditions,"Electric Field with Mixed Boundary Conditions: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
381,Electric Field with Radiation Boundary,"Electric Field with Radiation Boundary: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
382,Electric Field with Perfect Conductor Boundary,"Electric Field with Perfect Conductor Boundary: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
383,Magnetic Field in Spherical Shell,"Magnetic Field in Spherical Shell: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
384,Magnetic Field in Infinite Plane,"Magnetic Field in Infinite Plane: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
385,Magnetic Field in Long Solenoid,"Magnetic Field in Long Solenoid: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
386,Magnetic Field in Toroid,"Magnetic Field in Toroid: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
387,Magnetic Field in Coaxial Cable,"Magnetic Field in Coaxial Cable: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
388,Magnetic Field in Parallel Plate,"Magnetic Field in Parallel Plate: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
389,Magnetic Field in Cylindrical Cavity,"Magnetic Field in Cylindrical Cavity: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
390,Magnetic Field in Rectangular Waveguide,"Magnetic Field in Rectangular Waveguide: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
391,Magnetic Field in Fabry–Pérot Cavity,"Magnetic Field in Fabry–Pérot Cavity: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
392,Magnetic Field in Spherical Cavity,"Magnetic Field in Spherical Cavity: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
393,Magnetic Field in Cylindrical Shell,"Magnetic Field in Cylindrical Shell: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
394,Magnetic Field in Spherical Capacitor,"Magnetic Field in Spherical Capacitor: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
395,Magnetic Field in Coil Pair (Helmholtz),"Magnetic Field in Coil Pair (Helmholtz): definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
396,Magnetic Field in Dipole Field,"Magnetic Field in Dipole Field: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
397,Magnetic Field in Quadrupole Field,"Magnetic Field in Quadrupole Field: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
398,Magnetic Field in Vacuum,"Magnetic Field in Vacuum: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
399,Magnetic Field in Dielectric Medium,"Magnetic Field in Dielectric Medium: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
400,Magnetic Field in Conducting Medium,"Magnetic Field in Conducting Medium: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
401,Magnetic Field in Anisotropic Medium,"Magnetic Field in Anisotropic Medium: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
402,Magnetic Field in Superconductor,"Magnetic Field in Superconductor: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
403,Magnetic Field in Plasma,"Magnetic Field in Plasma: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
404,Magnetic Field in Semiconductor,"Magnetic Field in Semiconductor: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
405,Magnetic Field in Ferromagnetic Material,"Magnetic Field in Ferromagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
406,Magnetic Field in Paramagnetic Material,"Magnetic Field in Paramagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
407,Magnetic Field in Diamagnetic Material,"Magnetic Field in Diamagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
408,Magnetic Field in Metamaterial,"Magnetic Field in Metamaterial: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
409,Magnetic Field with Dirichlet Boundary Conditions,"Magnetic Field with Dirichlet Boundary Conditions: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
410,Magnetic Field with Neumann Boundary Conditions,"Magnetic Field with Neumann Boundary Conditions: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
411,Magnetic Field with Periodic Boundary Conditions,"Magnetic Field with Periodic Boundary Conditions: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
412,Magnetic Field with Mixed Boundary Conditions,"Magnetic Field with Mixed Boundary Conditions: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
413,Magnetic Field with Radiation Boundary,"Magnetic Field with Radiation Boundary: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
414,Magnetic Field with Perfect Conductor Boundary,"Magnetic Field with Perfect Conductor Boundary: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
415,Wave Equation in Spherical Shell,"Wave Equation in Spherical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
416,Wave Equation in Infinite Plane,"Wave Equation in Infinite Plane: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
417,Wave Equation in Long Solenoid,"Wave Equation in Long Solenoid: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
418,Wave Equation in Toroid,"Wave Equation in Toroid: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
419,Wave Equation in Coaxial Cable,"Wave Equation in Coaxial Cable: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
420,Wave Equation in Parallel Plate,"Wave Equation in Parallel Plate: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
421,Wave Equation in Cylindrical Cavity,"Wave Equation in Cylindrical Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
422,Wave Equation in Rectangular Waveguide,"Wave Equation in Rectangular Waveguide: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
423,Wave Equation in Fabry–Pérot Cavity,"Wave Equation in Fabry–Pérot Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
424,Wave Equation in Spherical Cavity,"Wave Equation in Spherical Cavity: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
425,Wave Equation in Cylindrical Shell,"Wave Equation in Cylindrical Shell: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
426,Wave Equation in Spherical Capacitor,"Wave Equation in Spherical Capacitor: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
427,Wave Equation in Coil Pair (Helmholtz),"Wave Equation in Coil Pair (Helmholtz): definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
428,Wave Equation in Dipole Field,"Wave Equation in Dipole Field: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
429,Wave Equation in Quadrupole Field,"Wave Equation in Quadrupole Field: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
430,Wave Equation in Vacuum,"Wave Equation in Vacuum: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
431,Wave Equation in Dielectric Medium,"Wave Equation in Dielectric Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
432,Wave Equation in Conducting Medium,"Wave Equation in Conducting Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
433,Wave Equation in Anisotropic Medium,"Wave Equation in Anisotropic Medium: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
434,Wave Equation in Superconductor,"Wave Equation in Superconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
435,Wave Equation in Plasma,"Wave Equation in Plasma: definition, governing equations, and typical applications.","Debye length: λ_D=√(ε₀kT/(n_e e²)). Example: n_e=10¹⁶ m⁻³, T=10⁴ K ⇒ λ_D ~ 2×10⁻⁵ m."
436,Wave Equation in Semiconductor,"Wave Equation in Semiconductor: definition, governing equations, and typical applications.",Semiconductor diode: I≈I₀(e^{qV/kT}−1). Example: V=0.7 V at 300 K ⇒ forward conduction.
437,Wave Equation in Ferromagnetic Material,"Wave Equation in Ferromagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
438,Wave Equation in Paramagnetic Material,"Wave Equation in Paramagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
439,Wave Equation in Diamagnetic Material,"Wave Equation in Diamagnetic Material: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
440,Wave Equation in Metamaterial,"Wave Equation in Metamaterial: definition, governing equations, and typical applications.",Provide a small numeric example with units using the core equation(s).
441,Wave Equation with Dirichlet Boundary Conditions,"Wave Equation with Dirichlet Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
442,Wave Equation with Neumann Boundary Conditions,"Wave Equation with Neumann Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
443,Wave Equation with Periodic Boundary Conditions,"Wave Equation with Periodic Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
444,Wave Equation with Mixed Boundary Conditions,"Wave Equation with Mixed Boundary Conditions: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
445,Wave Equation with Radiation Boundary,"Wave Equation with Radiation Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
446,Wave Equation with Perfect Conductor Boundary,"Wave Equation with Perfect Conductor Boundary: definition, governing equations, and typical applications.",Gauss: ∬∇·F dV=∮F·dA. Example: ∇·F=3 ⇒ flux through unit cube = 3.
447,Maxwell's Equations in Spherical Shell,"Maxwell's Equations in Spherical Shell: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
448,Maxwell's Equations in Infinite Plane,"Maxwell's Equations in Infinite Plane: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
449,Maxwell's Equations in Long Solenoid,"Maxwell's Equations in Long Solenoid: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
450,Maxwell's Equations in Toroid,"Maxwell's Equations in Toroid: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
451,Maxwell's Equations in Coaxial Cable,"Maxwell's Equations in Coaxial Cable: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
452,Maxwell's Equations in Parallel Plate,"Maxwell's Equations in Parallel Plate: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
453,Maxwell's Equations in Cylindrical Cavity,"Maxwell's Equations in Cylindrical Cavity: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
454,Maxwell's Equations in Rectangular Waveguide,"Maxwell's Equations in Rectangular Waveguide: definition, governing equations, and typical applications.","Example: m=2 kg, v=3 m/s ⇒ K=½mv²=9 J; with F=10 N ⇒ a=5 m/s²."
455,Maxwell's Equations in Fabry–Pérot Cavity,"Maxwell's Equations in Fabry–Pérot Cavity: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
456,Maxwell's Equations in Spherical Cavity,"Maxwell's Equations in Spherical Cavity: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
457,Maxwell's Equations in Cylindrical Shell,"Maxwell's Equations in Cylindrical Shell: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
458,Maxwell's Equations in Spherical Capacitor,"Maxwell's Equations in Spherical Capacitor: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
459,Maxwell's Equations in Coil Pair (Helmholtz),"Maxwell's Equations in Coil Pair (Helmholtz): definition, governing equations, and typical applications.","Ideal gas: pV=nRT. Example: n=1 mol, T=300 K, V=0.024 m³ ⇒ p≈1.04×10⁵ Pa."
460,Maxwell's Equations in Dipole Field,"Maxwell's Equations in Dipole Field: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
461,Maxwell's Equations in Quadrupole Field,"Maxwell's Equations in Quadrupole Field: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
462,Maxwell's Equations in Vacuum,"Maxwell's Equations in Vacuum: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
463,Maxwell's Equations in Dielectric Medium,"Maxwell's Equations in Dielectric Medium: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
464,Maxwell's Equations in Conducting Medium,"Maxwell's Equations in Conducting Medium: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
465,Maxwell's Equations in Anisotropic Medium,"Maxwell's Equations in Anisotropic Medium: definition, governing equations, and typical applications.",Point charge: E=kq/r². Example: q=1 nC at r=0.1 m ⇒ E≈9×10⁴ N/C.
